======================================================================
PHASE 6: COMPREHENSIVE SCENARIO GENERATOR (S1-S6)
Per experiment-design.md §2.4 (revised 2026-06-16)
======================================================================

--- S1: N=20, Sentinel-1, 693km, bilateral ---
  [S3] S3-E_seed03.pkl: 300/300 visible, 519 windows, 18.9s
  [S3] S3-E_seed04.pkl: 300/300 visible, 498 windows, 19.8s
  [S3] S3-E_seed05.pkl: 299/300 visible, 519 windows, 22.8s
  [S3] S3-E_seed06.pkl: 300/300 visible, 512 windows, 21.8s
  [S3] S3-E_seed07.pkl: 300/300 visible, 500 windows, 29.9s
  [S3] S3-E_seed08.pkl: 300/300 visible, 494 windows, 40.3s
  [S3] S3-E_seed09.pkl: 300/300 visible, 471 windows, 37.3s
  [S3] Generated 50 new scenarios


--- S4: N=500, Sentinel-1, 693km, bilateral ---
  [S4] S4-A_seed00.pkl: 498/500 visible, 831 windows, 61.2s
  [S4] S4-A_seed01.pkl: 498/500 visible, 802 windows, 54.1s
  [S4] S4-A_seed02.pkl: 500/500 visible, 871 windows, 48.0s
  [S4] S4-A_seed03.pkl: 498/500 visible, 851 windows, 51.2s
  [S4] S4-A_seed04.pkl: 498/500 visible, 814 windows, 45.6s
  [S4] S4-A_seed05.pkl: 500/500 visible, 867 windows, 59.8s
  [S4] S4-A_seed06.pkl: 500/500 visible, 859 windows, 58.1s
  [S4] S4-A_seed07.pkl: 499/500 visible, 835 windows, 55.3s
  [S4] S4-A_seed08.pkl: 499/500 visible, 891 windows, 38.4s
  [S4] S4-A_seed09.pkl: 499/500 visible, 827 windows, 43.1s
  [S4] S4-B_seed00.pkl: 500/500 visible, 885 windows, 42.5s
  [S4] S4-B_seed01.pkl: 498/500 visible, 697 windows, 36.4s
  [S4] S4-B_seed02.pkl: 498/500 visible, 880 windows, 60.4s
  [S4] S4-B_seed03.pkl: 497/500 visible, 731 windows, 51.9s
  [S4] S4-B_seed04.pkl: 499/500 visible, 759 windows, 50.5s
  [S4] S4-B_seed05.pkl: 499/500 visible, 975 windows, 51.4s
  [S4] S4-B_seed06.pkl: 499/500 visible, 766 windows, 54.8s
  [S4] S4-B_seed07.pkl: 500/500 visible, 981 windows, 56.4s
  [S4] S4-B_seed08.pkl: 499/500 visible, 769 windows, 46.3s
  [S4] S4-B_seed09.pkl: 499/500 visible, 839 windows, 37.2s
  [S4] S4-C_seed00.pkl: 494/500 visible, 786 windows, 36.5s
  [S4] S4-C_seed01.pkl: 500/500 visible, 851 windows, 41.7s
  [S4] S4-C_seed02.pkl: 499/500 visible, 922 windows, 62.6s
  [S4] S4-C_seed03.pkl: 496/500 visible, 804 windows, 44.4s
  [S4] S4-C_seed04.pkl: 499/500 visible, 743 windows, 45.7s
  [S4] S4-C_seed05.pkl: 499/500 visible, 769 windows, 42.8s
  [S4] S4-C_seed06.pkl: 498/500 visible, 752 windows, 46.5s
  [S4] S4-C_seed07.pkl: 496/500 visible, 761 windows, 54.0s
  [S4] S4-C_seed08.pkl: 499/500 visible, 776 windows, 44.4s
  [S4] S4-C_seed09.pkl: 496/500 visible, 731 windows, 42.1s
  [S4] S4-D_seed00.pkl: 497/500 visible, 964 windows, 50.1s
  [S4] S4-D_seed01.pkl: 496/500 visible, 986 windows, 69.0s
  [S4] S4-D_seed02.pkl: 493/500 visible, 958 windows, 55.9s
  [S4] S4-D_seed03.pkl: 497/500 visible, 956 windows, 56.4s
  [S4] S4-D_seed04.pkl: 497/500 visible, 970 windows, 48.5s
  [S4] S4-D_seed05.pkl: 497/500 visible, 981 windows, 32.6s
  [S4] S4-D_seed06.pkl: 491/500 visible, 969 windows, 55.8s
  [S4] S4-D_seed07.pkl: 496/500 visible, 957 windows, 56.7s
  [S4] S4-D_seed08.pkl: 491/500 visible, 964 windows, 53.2s
  [S4] S4-D_seed09.pkl: 493/500 visible, 980 windows, 46.2s
  [S4] S4-E_seed00.pkl: 500/500 visible, 805 windows, 44.4s
  [S4] S4-E_seed01.pkl: 499/500 visible, 871 windows, 56.9s
  [S4] S4-E_seed02.pkl: 500/500 visible, 820 windows, 55.2s
  [S4] S4-E_seed03.pkl: 500/500 visible, 869 windows, 41.0s
  [S4] S4-E_seed04.pkl: 500/500 visible, 849 windows, 46.2s
  [S4] S4-E_seed05.pkl: 499/500 visible, 890 windows, 40.6s
